Perturbability,Row
1,REGION_RATING_CLIENT
1,PREV_AMT_ANNUITY_MIN
1,PREV_ACTIVE_AMT_APPLICATION_MAX
1,PREV_CNT_PAYMENT_MEAN
1,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN
1,REGION_POPULATION_RELATIVE
1,BUREAU_ACTIVE_MONTHS_BALANCE_SIZE_SUM
1,PREV_LAST24M_APPLICATION_CREDIT_RATIO_MEAN
1,PREV_LAST12M_SIMPLE_INTERESTS_MAX
1,PREV_DAYS_DECISION_MAX
1,PREV_APPLICATION_CREDIT_RATIO_MEAN
1,PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MEAN
1,ANNUITY_TO_INCOME_RATIO
1,PREV_LAST24M_SIMPLE_INTERESTS_MAX
1,BUREAU_LL_AMT_CREDIT_SUM_OVERDUE_MEAN
1,PREV_LAST24M_AMT_ANNUITY_MEAN
1,APPROVED_DAYS_LAST_DUE_DIFF_MEAN
1,PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MAX
1,PREV_AMT_ANNUITY_MEAN
1,FLAG_WORK_PHONE
1,APPROVED_SIMPLE_INTERESTS_MEAN
1,APPROVED_DAYS_FIRST_DRAWING_MEAN
1,APPROVED_DAYS_FIRST_DUE_MIN
1,APPROVED_DAYS_LAST_DUE_MAX
1,YEARS_BEGINEXPLUATATION_MEDI
1,PREV_Consumer_DAYS_LAST_DUE_1ST_VERSION_MEAN
1,REFUSED_AMT_CREDIT_MIN
1,APPROVED_DAYS_LAST_DUE_1ST_VERSION_MEAN
1,BUREAU_CREDIT_TYPE_Mortgage_MEAN
1,PREV_Consumer_SIMPLE_INTERESTS_VAR
1,GROUP_ANNUITY_STD
1,BUREAU_CREDIT_ACTIVE_Active_MEAN
1,APPROVED_SIMPLE_INTERESTS_MIN
1,BUREAU_CREDIT_TYPE_Microloan_MEAN
1,APPROVED_DAYS_LAST_DUE_DIFF_MAX
1,BUREAU_MONTHS_BALANCE_SIZE_MEAN
1,ORGANIZATION_TYPE
1,BUREAU_DAYS_CREDIT_ENDDATE_MAX
1,AMT_CREDIT
1,BUREAU_DAYS_CREDIT_MIN
1,GROUP_EXT_SOURCES_MEDIAN
1,PREV_Consumer_AMT_ANNUITY_MAX
1,GROUP_INCOME_MEAN
1,BUREAU_STATUS_0_MEAN
1,APPROVED_AMT_CREDIT_MEAN
1,PREV_Cash_DAYS_DECISION_MAX
1,PREV_Cash_APPLICATION_CREDIT_DIFF_VAR
1,PREV_LAST24M_DAYS_DECISION_MEAN
1,BUREAU_CONSUMER_DAYS_CREDIT_MAX
1,NAME_FAMILY_STATUS
1,BUREAU_CREDIT_DAYS_CREDIT_MEAN
1,DAYS_REGISTRATION
1,APPROVED_DAYS_FIRST_DUE_MEAN
1,DAYS_ID_PUBLISH
1,PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MAX
1,ID_TO_BIRTH_RATIO
1,DEF_30_CNT_SOCIAL_CIRCLE
1,PREV_APPLICATION_CREDIT_RATIO_MAX
1,EXT_SOURCE_1
1,BUREAU_LAST12M_AMT_CREDIT_SUM_MAX
1,BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MAX
1,BUREAU_ACTIVE_DAYS_CREDIT_ENDDATE_MIN
1,PREV_Consumer_APPLICATION_CREDIT_RATIO_MIN
1,PREV_DAYS_TERMINATION_MAX
1,PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MIN
1,FLAG_OWN_CAR
1,PREV_ACTIVE_REPAYMENT_RATIO_MEAN
1,BUREAU_ACTIVE_DAYS_CREDIT_MAX
1,PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MAX
1,BUREAU_CLOSED_DAYS_CREDIT_ENDDATE_MAX
1,GROUP_CREDIT_TO_ANNUITY_MEAN
1,BUREAU_CONSUMER_DAYS_CREDIT_ENDDATE_MAX
1,OWN_CAR_AGE
1,CREDIT_TO_INCOME_RATIO
0,EXT_SOURCES_VAR
1,PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MAX
0,CODE_GENDER
1,NEW_DOC_KURT
0,DAYS_BIRTH
1,PREV_Cash_CNT_PAYMENT_MEAN
0,EXT_SOURCES_WEIGHTED
0,EXT_SOURCE_2
1,PREV_ACTIVE_INSTALMENT_PAYMENT_DIFF_MEAN
1,PREV_Consumer_AMT_CREDIT_SUM
1,PREV_NAME_CONTRACT_STATUS_Refused_MEAN
0,EXT_SOURCE_3
1,NAME_EDUCATION_TYPE
1,AMT_ANNUITY
1,PREV_Cash_SIMPLE_INTERESTS_MEAN
1,CREDIT_TO_GOODS_RATIO
1,DAYS_EMPLOYED
1,CREDIT_TO_ANNUITY_RATIO
0,EXT_SOURCES_MAX
0,EXT_SOURCES_MIN
